Transaction_ID,Description,Amount,Frequency,Price_Change_Pct,Income_Bracket,Category,Label
TXN-1001,Netflix Standard,15.99,Monthly,0,High,Entertainment,Safe
TXN-1002,Netflix Standard,15.99,Monthly,0,Low,Entertainment,Safe
TXN-1003,SpeedyCash Loan Repay,45.5,Weekly,0.05,Low,Loan_Repayment,Safe
TXN-1004,SpeedyCash Loan Repay,45.5,Weekly,0.02,Low,Loan_Repayment,Safe
TXN-1005,Amex Platinum Fee,695,Annually,0,High,Finance,Safe
TXN-1006,Rent-A-Center Furniture,89.99,Weekly,0,Low,Retail,Safe
TXN-1007,Equinox Gym,250,Monthly,0,High,Health,Safe
TXN-1008,Planet Fitness,10,Monthly,0,Low,Health,Safe
TXN-1009,Sketchy VPN Free Trial,49.99,Monthly,500,High,Software,Predatory
TXN-1010,Sketchy VPN Free Trial,49.99,Monthly,500,Low,Software,Predatory
TXN-1011,Utility Bill City Power,120.5,Monthly,0.15,Low,Utilities,Safe
TXN-1012,Utility Bill City Power,145,Monthly,0.05,High,Utilities,Safe
TXN-1013,Mystery Box Sub,99.99,Monthly,100,Low,Retail,Predatory
TXN-1014,Mystery Box Sub,99.99,Monthly,100,High,Retail,Predatory
TXN-1015,Check Cashing Fee,12,Weekly,0,Low,Finance,Safe
TXN-1016,Wealthfront Deposit,500,Monthly,0,High,Finance,Safe
TXN-1017,Payday Advance Fee,15,Bi-Weekly,0,Low,Loan_Repayment,Safe
TXN-1018,NYTimes Subscription,17,Monthly,0,High,News,Safe
TXN-1019,Zombie App (Unused),4.99,Monthly,0,Low,Software,Predatory
TXN-1020,Zombie App (Unused),4.99,Monthly,0,High,Software,Predatory
TXN-1021,MetroPCS Prepaid,40,Monthly,0,Low,Utilities,Safe
TXN-1022,Verizon Postpaid,85,Monthly,0,High,Utilities,Safe
TXN-1023,Overdraft Fee Protection,35,Monthly,0,Low,Finance,Safe
TXN-1024,Concierge Service,35,Monthly,0,High,Service,Safe
TXN-1025,Hidden Fee 'Premium',19.99,Monthly,999,Low,Scam,Predatory
TXN-1026,SpeedyCash Loan Repay,45.5,Weekly,0.05,High,Loan_Repayment,Safe
TXN-1027,Wealthfront Deposit,500,Monthly,0,High,Finance,Safe
TXN-1028,Sketchy VPN Free Trial,49.99,Monthly,500,High,Software,Predatory
TXN-1029,Sketchy VPN Free Trial,49.99,Monthly,500,High,Software,Predatory
TXN-1030,Equinox Gym,250,Monthly,0,Low,Health,Safe
TXN-1031,Sketchy VPN Free Trial,49.99,Monthly,500,High,Software,Predatory
TXN-1032,Netflix Standard,15.99,Monthly,0,Low,Entertainment,Safe
TXN-1033,Payday Advance Fee,15,Bi-Weekly,0,Low,Loan_Repayment,Safe
TXN-1034,Utility Bill City Power,110.91,Monthly,0.04,Low,Utilities,Safe
